GEO;GEO_OBJECT;OBS_STATUS;lcog_geo;ind;men;men_pauv;men_1ind;men_5ind;men_prop;men_fmp;ind_snv;men_surf;men_coll;men_mais;log_soc;ind_inc;log;ind_0_17;ind_65p
CRS3035RES200mN3124600E3780000;C200M;I;59359,59183;1;0.3;0;0;0.1;0.2;0;23871.4;39.3;0;0.3;0;0;0.30000000000000004;0.30000000000000004;0.1
CRS3035RES200mN3127400E3779200;C200M;I;59183;4;1.4;0.1;0.4;0.2;0.9;0.1;87010.4;154.6;0;1.4;0;0;1.4000000000000001;0.8999999999999999;0.2
CRS3035RES200mN3128000E3779600;C200M;I;59183,59271;14;5.4;1.1;1.6;0.3;3.5;0;347278;512.3;0.5;4.9;0;0;5.4;4;3.5
CRS3035RES200mN3128200E3779600;C200M;I;59183;4;1.5;0.3;0.5;0.1;1;0;99222.3;146.4;0.1;1.4;0;0;1.5000000000000002;1.2;1
CRS3035RES200mN3128000E3779400;C200M;I;59183,59271;23;8.8;1.8;2.7;0.4;5.8;0;570528.1;841.7;0.9;7.9;0;0;8.8;6.699999999999999;5.7
CRS3035RES200mN3128000E3779200;C200M;I;59183;2;0.8;0.2;0.2;0;0.5;0;49611.1;73.2;0.1;0.7;0;0;0.8;0.5;0.6
CRS3035RES200mN3129600E3778400;C200M;I;59183;14;6.1;1.3;1.3;0;6.1;0;358241;644.4;0;6.1;0;0;6.1;0.9;4.800000000000001
CRS3035RES200mN3130200E3778400;C200M;I;59183;2;0.8;0.2;0.2;0;0.5;0;49611.1;73.2;0.1;0.7;0;0;0.8;0.5;0.6
CRS3035RES200mN3129400E3778400;C200M;I;59183;15;6.6;1.4;1.4;0;6.6;0;383829.6;690.5;0;6.6;0;0;6.6;0.9;5.2
CRS3035RES200mN3129400E3778200;C200M;I;59183;3;1.3;0.3;0.3;0;1.3;0;76765.9;138.1;0;1.3;0;0;1.2999999999999998;0.2;1
CRS3035RES200mN3129600E3778200;C200M;A;59183;73;32;5;12;2;21;1;1744915.7;2659;0;32;8;0;32;10;7
CRS3035RES200mN3129800E3778200;C200M;A;59183;91;33;11;13;7;8;4;1548163;2819;0;33;20;0;33;34;15
CRS3035RES200mN3129800E3777600;C200M;I;59359,59183;2;0.8;0.2;0.2;0;0.5;0;49611.1;73.2;0.1;0.7;0;0;0.8;0.5;0.6
CRS3035RES200mN3130600E3791200;C200M;I;59588,59183;11;4.8;0.4;0;0;4;0.4;368167.7;831.6;0;4.8;0;0;4.800000000000001;0.4;3.5
CRS3035RES200mN3130400E3790400;C200M;A;59588,59183;75;35;1;7;0;35;0;2398918.6;4216;0;35;0;0;35;4;38
CRS3035RES200mN3130600E3790800;C200M;I;59183,59588;21;8.3;0.8;1.5;0.9;7.3;0.5;573137.4;996.6;0;8.3;0;0;8.3;4.2;6.4
CRS3035RES200mN3130600E3790600;C200M;I;59183,59588;8;3.2;0.3;0.6;0.4;2.8;0.2;218338.1;379.6;0;3.2;0;0;3.1999999999999997;1.6;2.4
CRS3035RES200mN3130400E3790600;C200M;A;59588;55.5;26;1;6;1;25;0;1908863.7;3207;0;26;0;0;26;6.5;26
CRS3035RES200mN3130600E3790400;C200M;I;59183,59588;2;0.8;0.1;0.1;0.1;0.7;0;54584.5;94.9;0;0.8;0;0;0.7999999999999999;0.5;0.6000000000000001
CRS3035RES200mN3130600E3790200;C200M;I;59183;10;4;0.4;0.7;0.4;3.5;0.2;272922.6;474.6;0;4;0;0;4;2;3
CRS3035RES200mN3130400E3790200;C200M;A;59588,59183;36.5;17;3;3;0;16;2;1021514;1862;0;17;0;0;17;3.5;20
CRS3035RES200mN3131000E3792200;C200M;I;59183,59588,59340;21;8.2;1.2;1.4;0.5;7.5;0.5;528354.5;851.3;0;8.2;0;0;8.200000000000001;3.8;4.4
CRS3035RES200mN3131400E3792200;C200M;A;59340,59183;29;11;0;0;0;10;1;1005320.7;1337;0;11;0;0;11;7;5
CRS3035RES200mN3131400E3792000;C200M;A;59340,59183;41;19;0;3;1;18;1;1424556.2;2220;0;19;0;0;19;5;16
CRS3035RES200mN3131200E3792200;C200M;I;59340,59183;11;4.3;0.6;0.8;0.3;3.9;0.3;276757.1;445.9;0;4.3;0;0;4.3;2.1;2.3
CRS3035RES200mN3131000E3792000;C200M;I;59183,59588;2;0.8;0.1;0.1;0;0.7;0;50319.5;81.1;0;0.8;0;0;0.8;0.4;0.4
CRS3035RES200mN3131600E3791800;C200M;A;59340;141;76;18;38;3;19;3;2727555.2;5326;20;56;56;0;76;20;55
CRS3035RES200mN3131400E3791800;C200M;I;59183,59340;30;10.6;0.3;1.2;1.2;8.2;0.3;862960.3;1224.8;0;10.6;0;0;10.600000000000001;7;7.9
CRS3035RES200mN3131200E3791400;C200M;I;59183;17;6;0.2;0.7;0.7;4.6;0.2;489010.8;694.1;0;6;0;0;6.000000000000001;3.9;4.5
